id,titre,prix,localisation,date_creation_iso,date_creation_formatee,date_creation_jour,jours_ecoules
90230049,Paris 17e - 64 m² - 3 pièces - 2 chambres,770 000 €,Metro Charles de Gaulle-Etoile · 75017 Paris 17e,2025-11-19T12:33:22.000Z,2025-11-19 12:33:22,2025-11-19,18
70396623,Paris 17e - 79 m² - 2 pièces - 1 chambres,850 000 €,Metro Ternes · 21 Rue Pierre Demours,2025-11-19T12:33:10.000Z,2025-11-19 12:33:10,2025-11-19,18
93031443,Paris 12e - 35 m² - 1 pièces,383 000 €,Metro Gare de Lyon · Coulée Verte René-Dumont,2025-11-19T12:33:10.000Z,2025-11-19 12:33:10,2025-11-19,18
91555087,Paris 17e - 73 m² - 3 pièces - 2 chambres,770 000 €,Metro Ternes,2025-11-19T12:33:09.000Z,2025-11-19 12:33:09,2025-11-19,18
91969673,Paris 19e - 185 m² - 6 pièces - 4 chambres,1 965 000 €,Metro Place des Fêtes · 48 Rue du Général Brunet,2025-11-19T12:29:28.000Z,2025-11-19 12:29:28,2025-11-19,18
90259358,Paris 17e - 51 m² - 3 pièces - 2 chambres,490 000 €,Metro Porte de Saint-Ouen · 7 Rue Jacques Kellner,2025-11-19T12:29:15.000Z,2025-11-19 12:29:15,2025-11-19,18
87858663,Paris 15e - 93 m² - 3 pièces - 2 chambres,925 600 €,Metro Mirabeau · 2 Rue Paul Hervieu,2025-11-19T12:29:14.000Z,2025-11-19 12:29:14,2025-11-19,18
91402548,Paris 11e - 68 m² - 3 pièces - 2 chambres,625 000 €,Metro Avron · 260 Boulevard Voltaire,2025-11-19T12:29:07.000Z,2025-11-19 12:29:07,2025-11-19,18
72706285,Paris 20e - 70 m² - 3 pièces - 2 chambres,850 000 €,Metro Gambetta · 25 Rue d'Annam,2025-11-19T12:29:06.000Z,2025-11-19 12:29:06,2025-11-19,18
91971915,Paris 16e - 111 m² - 4 pièces - 3 chambres,995 000 €,Metro Rue de la Pompe · 32 Rue Marceline Desbordes-Valmore,2025-11-19T12:29:03.000Z,2025-11-19 12:29:03,2025-11-19,18
92344850,Paris 15e - 93 m² - 3 pièces - 2 chambres,795 000 €,Metro Javel-André-Citroen · 25A Quai André Citroën,2025-11-19T12:28:59.000Z,2025-11-19 12:28:59,2025-11-19,18
92735878,Paris 12e - 32 m² - 2 pièces - 1 chambres,300 000 €,Metro Porte de Vincennes,2025-11-19T12:27:57.000Z,2025-11-19 12:27:57,2025-11-19,18
93828578,Paris 11e - 48 m² - 3 pièces - 2 chambres,339 200 €,Metro Goncourt · Rue du Grand Prieuré,2025-11-19T12:27:55.000Z,2025-11-19 12:27:55,2025-11-19,18
74242421,Paris 7e - 85 m² - 3 pièces - 2 chambres,1 180 000 €,Metro Rue du Bac · Rue de Grenelle,2025-11-19T12:27:55.000Z,2025-11-19 12:27:55,2025-11-19,18
93885306,Paris 6e - 25 m² - 1 pièces,295 000 €,Metro Vavin,2025-11-19T12:27:45.000Z,2025-11-19 12:27:45,2025-11-19,18
93885234,Paris 11e - 39 m² - 2 pièces - 1 chambres,400 000 €,Metro Rue Saint-Maur · 5 Rue du Général Renault,2025-11-19T12:27:36.000Z,2025-11-19 12:27:36,2025-11-19,18
93105567,Paris 6e - 82 m² - 5 pièces - 3 chambres,1 280 000 €,Metro Notre-Dame des Champs · Rue d'Assas,2025-11-19T12:27:36.000Z,2025-11-19 12:27:36,2025-11-19,18
